x,y,z1,z2,z3,z4
0.5,0.5,-99.90863708,-2.620427814,-0.779841463,3.400269278
0.5,0.55,-99.97408688,-2.766218196,-0.614129322,3.380347518
0.5,0.6,-100.0260284,-2.869562411,-0.491165824,3.360728236
0.5,0.65,-100.0678315,-2.943900223,-0.397803098,3.341703321
0.5,0.7,-100.1018621,-2.998089727,-0.325470425,3.323560152
0.5,0.75,-100.1298106,-3.03839954,-0.268253855,3.306653395
0.5,0.8,-100.1529037,-3.069179128,-0.222164869,3.291343997
0.5,0.85,-100.1720614,-3.093247486,-0.184602131,3.277849616
0.5,0.9,-100.1880004,-3.112411162,-0.153784636,3.266195798
0.5,0.95,-100.2012928,-3.127885245,-0.128384516,3.256269761
0.5,1,-100.2123993,-3.140526214,-0.107363769,3.247889983
0.5,1.05,-100.2216935,-3.150950243,-0.089902128,3.240852371
0.5,1.1,-100.2294798,-3.159604068,-0.075350555,3.234954623
0.5,1.15,-100.236008,-3.166814138,-0.063194129,3.230008267
0.5,1.2,-100.2414842,-3.172823907,-0.053020738,3.225844645
0.5,1.25,-100.2460794,-3.17782236,-0.044496233,3.222318593
0.5,1.3,-100.249936,-3.181963211,-0.037346657,3.219309869
0.5,1.35,-100.2531729,-3.185379455,-0.031343764,3.216723219
0.5,1.4,-100.2558892,-3.188189175,-0.026297826,3.214487001
0.5,1.45,-100.2581676,-3.190499346,-0.022049767,3.212549113
0.5,1.5,-100.260077,-3.192404865,-0.018468193,3.210873058
0.5,1.55,-100.2616751,-3.193987313,-0.015444391,3.209431704
0.5,1.6,-100.2630103,-3.19531275,-0.012890309,3.208203059
0.5,1.65,-100.2641235,-3.196433816,-0.010732518,3.207166334
0.5,1.7,-100.2650491,-3.19738877,-0.008911723,3.206300493
0.5,1.75,-100.2658166,-3.198205694,-0.007377674,3.205583368
0.5,1.8,-100.2664509,-3.198905781,-0.00608723,3.204993011
0.5,1.85,-100.2669735,-3.199503587,-0.005004765,3.204508352
0.5,1.9,-100.2674022,-3.200012312,-0.004097853,3.204110165
0.5,1.95,-100.2677525,-3.200441861,-0.00334012,3.203781981
0.5,2,-100.2680374,-3.200801334,-0.002708673,3.203510008
0.5,2.05,-100.2682677,-3.201100764,-0.002182705,3.203283469
0.5,2.1,-100.2684527,-3.201347201,-0.001746547,3.203093747
0.5,2.15,-100.2686002,-3.201547429,-0.001386683,3.202934112
0.5,2.2,-100.2687167,-3.201709819,-0.001089851,3.20279967
0.5,2.25,-100.2688078,-3.201840273,-0.000846368,3.202686641
0.5,2.3,-100.2688781,-3.201942724,-0.000649024,3.202591748
0.5,2.35,-100.2689317,-3.202022285,-0.000490062,3.202512348
0.5,2.4,-100.2689717,-3.202084134,-0.000362034,3.202446168
0.5,2.45,-100.2690009,-3.202130828,-0.000260244,3.202391072
0.5,2.5,-100.2690216,-3.202164283,-0.000180856,3.202345139
0.5,2.55,-100.2690356,-3.202187332,-0.000119357,3.202306689
0.5,2.6,-100.2690445,-3.202203006,-7.12E-05,3.20227422
0.5,2.65,-100.2690494,-3.202212412,-3.40E-05,3.202246362
0.5,2.7,-100.2690513,-3.202215967,-6.07E-06,3.202222033
0.5,2.75,-100.2690508,-3.202214683,1.4255e-05,3.202200429
0.5,2.8,-100.2690487,-3.202210239,2.9385e-05,3.202180855
